"unit","opponent","oneVsOne","oneVsOneWins","oneVsOneSeconds","oneVsOneMargin","cost","costWins","costCount","costMargin","costMarginSpread","costValueLost","costOpponentValueLost","costSeconds","spotted","spottedWins","spottedMargin","spottedMarginSpread","spottedSeconds","firstShotCells","longestShotCells","spottedLongestShotCells","shotFirst"
"mlrs","e2","lost","0/3","20.4","-1","lost","0/3","6v23","-0.365","0.116","3567","2304","33.4","lost","0/3","-0.392","0.098","18.5",,"4.5","4.5","no"
"mlrs","e3","lost","1/3","15.3","-0.398","unresolved","0/3","6v12","-0.534","0.319","3448","1526","44.8","lost","0/3","-0.635","0.212","15",,"2.8","2.8","no"
"mlrs","e4","lost","0/3","16.3","-1","lost","0/3","6v18","-0.465","0.098","3600","1925","13.3","lost","0/3","-0.447","0.043","14.9","2","4.1","3","no"
"mlrs","e5","lost","1/3","11.6","-0.444","lost","0/3","6v12","-0.282","0.097","3600","2585","18.3","lost","0/3","-0.359","0.035","17.7",,"2.8","3.2","no"
"mlrs","rmbo","unresolved","0/3","45","0","won","2/3","6v2","0.667","1","0","2000","20.3","unresolved","0/3","0.333","0.5","49.9",,,,"yes"
"mlrs","jeep","lost","0/3","11.8","-1","lost","0/3","6v9","-0.913","0.027","3600","314","9.6","lost","0/3","-0.924","0.024","9.4","2","3.6","3","no"
"mlrs","apc","lost","0/3","14","-1","lost","0/3","6v6","-0.97","0.016","3600","108","12.8","lost","0/3","-0.973","0.019","13.5","1","3.6","3.6","no"
"mlrs","mtnk","unresolved","0/3","53.5","-0.667","lost","0/3","6v4","-0.988","0.001","3600","42","22.6","lost","0/3","-0.989","0.002","22.1",,"2","2","no"
"mlrs","htnk","lost","0/3","8.5","-0.999","lost","0/3","6v2","-0.99","0.001","3600","34","16.8","lost","0/3","-0.989","0.003","15.4",,"1","1","no"
"mlrs","msam","lost","0/3","14.6","-1","lost","0/3","6v4","-0.668","0.285","3600","1194","13.5","lost","0/3","-0.865","0.027","15.3","3.6","7.3","7.2","no"
"mlrs","bggy","lost","0/3","11.8","-1","lost","0/3","6v12","-0.909","0.02","3600","328","9.7","lost","0/3","-0.913","0.035","9.9","2","3.6","3","no"
"mlrs","bike","lost","0/3","13","-1","lost","0/3","6v7","-0.86","0.043","3600","489","12.5","lost","0/3","-0.892","0.037","13.5",,"2.2","2.2","no"
"mlrs","ltnk","lost","0/3","13","-0.991","lost","0/3","6v5","-0.976","0.003","3600","91","17.5","lost","0/3","-0.975","0.006","16.8","1","2.2","2.2","no"
"mlrs","ftnk","lost","0/3","10.8","-1","lost","0/3","6v6","-0.945","0.047","3600","199","9.4","lost","0/3","-0.959","0.013","11.4","1","3","2.2","no"
"mlrs","stnk","lost","0/3","7.3","-1","lost","0/3","6v4","-0.923","0.07","3600","278","14.1","lost","0/3","-0.877","0.043","13.3",,"2.2","2.2","no"
"mlrs","arty","unresolved","0/3","36.6","-0.35","lost","0/3","6v6","-0.581","0.057","3499","1407","30","lost","0/3","-0.793","0.097","13.8","3","5","5","no"
"mlrs","orca","won","3/3","5.2","0.688","won","3/3","6v3","0.854","0.062","526","3600","5.3","won","3/3","0.854","0.063","5.4","4","8.2","9.1","yes"
"mlrs","heli","won","3/3","6","0.5","won","3/3","6v3","0.839","0.017","581","3600","5.8","won","3/3","0.869","0.056","5.7","4","10","9.2","yes"
"orca","e1","won","3/3","18.8","1","unresolved","0/3","3v36","0.585","0.14","0","2106","180","unresolved","0/3","0.566","0.19","180","0","6.1","6.1","yes"
"orca","e2","won","3/3","22.4","1","unresolved","0/3","3v23","0.877","0.077","0","3227","180","unresolved","0/3","0.638","0.056","180","1","6.1","6","yes"
"orca","e3","lost","0/3","10.4","-0.294","lost","0/3","3v12","-0.883","0.005","3600","421","9.4","lost","0/3","-0.885","0.007","9.4","1","4.1","4.1","yes"
"orca","e4","won","3/3","43.7","1","unresolved","0/3","3v18","0.452","0.477","0","1626","180","unresolved","0/3","0.299","0.025","180","0","6","6","yes"
"orca","e5","won","3/3","42.6","1","unresolved","0/3","3v12","0.442","0.016","0","1592","180","unresolved","0/3","0.557","0.186","180","0","6","6.3","yes"
"orca","rmbo","won","3/3","78.3","1","won","3/3","3v2","1","0","0","3000","114.9","won","3/3","1","0","121.6","0","6","6","yes"
"orca","jeep","won","3/3","12","1","won","3/3","3v9","1","0","0","3600","47.7","won","3/3","1","0","46.5","1","7.1","7","yes"
"orca","apc","lost","0/3","5.8","-0.558","lost","0/3","3v6","-0.83","0.001","3600","611","5.6","lost","0/3","-0.832","0.004","5.3","2","5","5","no"
"orca","mtnk","won","3/3","37.2","1","won","3/3","3v4","1","0","0","3600","114.3","won","3/3","1","0","78.1","1","7","7","yes"
"orca","htnk","lost","0/3","7.7","-0.855","lost","0/3","3v2","-0.779","0.024","3600","796","10.3","lost","0/3","-0.782","0.019","10.5","1","6","6","no"
"orca","msam","won","3/3","6.2","1","won","3/3","3v4","1","0","0","3600","9.1","won","3/3","1","0","8.4","1","4","4","yes"
"orca","bggy","won","3/3","8.9","1","won","2/3","3v12","0.95","0.149","0","3422","57.3","won","3/3","1","0","40.7","1","5.1","6.1","yes"
"orca","bike","won","3/3","4.8","0.38","lost","0/3","3v7","-0.563","0.027","3600","1531","7.4","lost","0/3","-0.55","0.047","7.2","2","5","5.1","no"
"orca","ltnk","won","3/3","26","1","won","2/3","3v5","0.937","0.19","0","3512","87.9","won","3/3","1","0","80.2","0","7","7","yes"
"orca","ftnk","won","3/3","20.5","1","won","3/3","3v6","1","0","0","3600","37.3","won","2/3","0.977","0.07","62.9","1","7","6","yes"
"orca","stnk","lost","0/3","4.5","-0.689","lost","0/3","3v4","-0.625","0.138","3600","1351","6.6","lost","0/3","-0.654","0.101","6.3","1","5","5","no"
"orca","arty","won","3/3","5.4","1","won","3/3","3v6","1","0","0","3600","11.3","won","3/3","1","0","11.8","1","5","4.5","yes"
"orca","mlrs","lost","0/3","5.2","-0.688","lost","0/3","3v6","-0.854","0.062","3600","526","5.3","lost","0/3","-0.854","0.063","5.4","2","4","5","no"
"orca","heli","won","3/3","6.3","0.12","won","2/3","3v3","0.039","0.296","3328","3469","12.5","won","2/3","-0.028","0.205","12.7","3","4","4","no"
"heli","e1","won","3/3","5.4","1","unresolved","0/3","3v36","0.369","0.013","0","1328","61.3","unresolved","0/3","0.508","0.374","87.5","3","5","4.1","yes"
"heli","e2","won","3/3","5.2","1","unresolved","0/3","3v23","0.647","0.13","0","2380","60","unresolved","0/3","0.556","0.047","58.3","2","4.1","5","yes"
"heli","e3","won","3/3","5.8","1","lost","0/3","3v12","-0.574","0.21","3600","1534","8.3","lost","0/3","-0.48","0.081","9.8","3","4.1","4.1","yes"
"heli","e4","won","3/3","6.3","1","unresolved","0/3","3v18","0.738","0.244","0","2658","76.3","unresolved","0/3","0.738","0.342","73.2","3","5.1","5.1","yes"
"heli","e5","won","3/3","6.2","1","unresolved","0/3","3v12","0.874","0.077","0","3146","65","unresolved","1/3","0.933","0.152","51.6","3","5","5.1","yes"
"heli","rmbo","won","3/3","7.6","1","won","3/3","3v2","1","0","0","3000","6.8","won","3/3","1","0","6.9","3","3","3","yes"
"heli","jeep","won","3/3","7.4","1","won","3/3","3v9","1","0","0","3600","48","won","3/3","1","0","44.2","2","5","5","yes"
"heli","apc","lost","0/3","6.6","-0.79","lost","0/3","3v6","-0.882","0.009","3600","425","5.9","lost","0/3","-0.879","0","5.9","3","4","4","no"
"heli","mtnk","won","3/3","116.4","1","unresolved","0/3","3v4","0.619","0.067","0","2228","180","unresolved","0/3","0.537","0.003","180","2","5","5","yes"
"heli","htnk","lost","0/3","7.7","-0.954","lost","0/3","3v2","-0.878","0.001","3600","438","10.3","lost","0/3","-0.879","0.001","10.3","3","4","4","yes"
"heli","msam","won","3/3","6.9","1","won","3/3","3v4","1","0","0","3600","8.6","won","3/3","1","0","8.6","2","3","3","yes"
"heli","bggy","won","3/3","5.7","1","won","2/3","3v12","0.978","0.066","0","3521","56.7","won","2/3","0.98","0.059","51.3","1","5","5","yes"
"heli","bike","won","3/3","5.4","0.504","lost","0/3","3v7","-0.619","0.018","3600","1334","7","lost","0/3","-0.614","0.012","7","3","4","4","yes"
"heli","ltnk","won","3/3","79.6","1","unresolved","0/3","3v5","0.746","0.145","0","2798","180","unresolved","1/3","0.898","0.212","166","1","4","4.1","yes"
"heli","ftnk","won","3/3","65.7","1","unresolved","0/3","3v6","0.941","0.081","0","3389","180","won","3/3","1","0","102.5","1","5","5","yes"
"heli","stnk","won","3/3","6.9","0.04","lost","0/3","3v4","-0.55","0.15","3600","1620","7.5","lost","0/3","-0.533","0.2","7.8","3","4","4","same"
"heli","arty","won","3/3","6","1","won","3/3","3v6","1","0","0","3600","8","won","3/3","1","0","8","3","3","3","yes"
"heli","mlrs","lost","0/3","6","-0.5","lost","0/3","3v6","-0.839","0.017","3600","581","5.8","lost","0/3","-0.869","0.056","5.7","3","4","4","no"
"heli","orca","lost","0/3","6.3","-0.12","lost","1/3","3v3","-0.039","0.296","3469","3328","12.5","lost","1/3","0.028","0.205","12.7","3","4","4","yes"
